class,text
n,Meh  I ve experienced better is an understatement.\n\nFriday s is like the  fine dining chain  for every yinzer in Pittsburgh...\n\n1.  When we were seated  it was quick which was a surprise.  Somehow this restaurant gets packed and I never understand why.  I was happy about that.\n2.  I ordered one of their  skinny margaritas   blackberry to be exact.  It was a nice size  however  at $6.00/pop  that was half of my food bill.\n3.  The waitress started off attentive  but after our food came out she was gone.  I ordered a turkey burger with pickle and mustard.  Loaded mashed potato on the side because I wanted heartburn ha!\n4.  Food came.  My burger had lettuce on it only.  Waitress was supposed to go and get our next round of drinks.  I had to wait to ask for my pickle.\n5.  The loaded potatoes were more like rubber than potatoes and not what I was expecting.  Disappointment.\n6.  The waitress then went into oblivion and only returned with our check.  \n\nNever again will I eat at Friday s.  I will  however  go should a happy hour arise... 
y,Unos has been around for ever  & I feel like this restaurant chain peak in popularity in the 80 s. Honestly the decor inside still kind of looks 80s to me even though its nice with sleek booth and exposed brick.\n\nIf you haven t died and he recently I ordered you to come back and have a meal here again because honestly the food is really quite good!\n\nThey have the best chicken salad wrap ever! I love that rap so much I want agreed to walk the south side River Trail from where the Steelers practice all the way to the damn waterfront just because I knew that I could convince my boyfriend to go to Unos with me for lunch.  Full disclosure:  I made him call is a cab and we took a taxi back to the parking lot after lunch.\n\nListen... The food and pizza and service are very good  surprisingly so! I don t know why this place is not busier but next time you re down at the Waterfront please do consider dining here! 
n,Stars are for the food only.    2.5 rating\n\nGot there at 8pm on Saturday night  they told us it was an hour wait which was expected  but it only took 30minutes to be seated so that was a bonus.  Started off with the lettuce wraps and i used to be a fan of these but they just seem to bore me now(FYI-love the lettuce wraps at the cheesecake factory).  I had the Singapore rice noodles.  This was so so as i thought immediately that lu lu noodles and asian cafe are better.  The fried rice was disappointing and the vegetables tasted raw.   Some good notes were the Dynamite shrimp  plump  juicy  tangy with a small kick.    Sweet and sour chicken was just the same minus the kick. \n\nThe service was annoying.   We were there less than 45 minutes and it seemed like our waiter was in a rush to get us out of there.   Constantly asking if he could remove my plate.  I had to sternly say at one point that I will let you know when i am finished.  I found it rude especially since  there wasn t even a line at this point.  \n\nI think we will travel elsewhere following a movie.  The result never quite met the anticipation. 
n,Our last few visits have left something to desire  One of the things I always notice is the demeanor of an establishments employees. These people look miserable  no one smiles or greets you appropriately  it s more like get in  get out  turn the tables \n\nThe food has remained consistently good... when we can order it. the last time JB and I came for a quick dinner  the place was not busy yet we were passed by 6 frowning waitstaff without getting drinks... for 15 minutes we were left suiting at our table with our menus closed and sitting on the edge of the table (HINT  HINT) so we left and most likely will not be returning. 
y,Good quality pork fried dumpling and mongo beef.  Bar service was fast and Efficent.   Good value.  Not a 5 cause dragon eye tea was cold first time around and beef had minor amount of fat.   Fortune was even Postive! 
n,Very bad purchase experience. I bought a shirt with a hole covered in the rolled up sleeves  but they denied my request to return it. I am so angery at this and will never shop their chothes anymore. 
n,When I think BBB... I think the days of simply bringing your bike in for a quick and relatively inexpensive tune-up and a few fixes are long gone.    \n\nThis review is more for the repair end of BBB. In their defense BBB does appear to carry some amazing brands of bike (ie Colnago) that you just don t find anywhere else in Pittsburgh. \n\nAt BBB I was charged $250 for a tune up and a few other things. Granted this included installing a sew up tire (which I can understand would cost approx $50)  Swapping out a left side (big ring) shifter on my down tube (this should have cost approx. $20 at most) and installing new bar tape (cost of tape $20 and $20 to install?).. SO WHAT S WITH $140 FOR A TUNE UP? Well the story goes like this:\n\nI bring the bike into BBB prior to the nice weather hitting Pittsburgh in hopes of trying what people have said is a great bike shop and getting my OCLV TREK 5900 ready for the season. Turns out I don t hear from these guys. A week goes by ...two weeks...I think that s ok I have two or three other bike I can turn to for a ride. Then I wind up going out of town for a week thinking for sure I ll get a call from them re: my bike is ready to roll...but no dice. So I call. Turns out a screw snapped when the mechanic was re-installing the down tube shifter and it had to be tapped out (is that my fault?). He says  Should be ready in a few days . So I come in a few days later to this mammoth bill. I ask if I am paying for the labor of taping out the screw? I don t think I ever got a straight answer? I look at the bill and can t see a good breakdown of the charges. Normally I would  duke it over  a bill like this but I figured...I had somewhere I to be 10 minutes ago and at least I finally have my bike. I would expect that for that money my bike could have been stripped down to the frame and totally gone over (overhauled). But it wasn t.  Well BBB I ll give you a star because the mechanic did do a good job in that my cycle shifts well and the tape job on the bars looks great (nice wrap). Plus I ll toss in a star for your outstanding selection of high end cycles. Maybe I would have rated BBB higher if I was in the market for a purchase instead of a simple repair? 
n,My orders have come out bad pretty much every time I have ordered from here. The chicken nuggets come out under par. I m lucky if the fries come out right. My last experience is the last straw. I recently posted a photo of my Chicken Ranch Club. That has no chicken. This is ridiculous. I am done going to this Mcd s. 
n,Wow. What a shame. My family just moved to the area and have been sampling the local cuisine. We are a very large family and love foods of all kind. We ve eaten Chinese food from a hundred different places in a dozen different cities. Hands down  this was the worst we ve ever had. Cold  tough  congealed  and tasteless - that s the only way to describe it. I ll never order from here again. Quite frankly  the fact that I took time away from my kids to type this out should tell you how awful it was. My complaints fell on deaf ears. I guess they were shocked that someone thought that they were serving low grade dog food. I understand that sometimes restaurants crank out bad food. It happens. But when it does  you bend over backwards to make it right. Not at this place. I was told that he would have to speak with the owner in order to help me. I guess that s how they deflect complaints - blame it on the owners that aren t there and make the customer for away angry.  Too bad. Because we will be visiting a competitor in the future. This family of 7 won t be visiting China Sea ever again. Oh  and by the way  why can t I give this place zero stars? 
y,I fell in love with this place as soon as we pulled up and saw the lights strung up and  oldies coming from the speakers! \n\nI tried the banana cream pie hard ice cream  their scoops are very generous!! \n\nMy bf got the peach cobbler hard ice cream and that was to die for! We got 4 servings of ice cream for $10  which nowadays is a steal IMO! :) \n\nI ll definitely be heading back with my coworkers this week! 
y,This is by far  the BEST soft serve ice cream place in southwestern PA. The  flavor of the week  is always interesting-and tasty! Though  I am somewhat disappointed that they ve switched to a lower grade ice milk  for their vanilla and chocolate offerings. I don t know if this is a matter of cutting corners  or if the better stuff simply isn t available any longer. Either way  this place is still leaps and bounds ahead of DQ  Tastee Freeze  etc. It s definitely worth the trip. It s mostly street parking  though they do have about 3-4 parking spaces off to the side. Serving sizes are huge! The small cone here  is the same size as a DQ large. And the large is SO big  they can t fit it through the window-they hand it out the side door.\n\nIf you want a real  Kodak moment -order a large cone for the kids  and keep the camera  and wet wipes handy! 
y,This is my go-to distributer. They have a great selection and lots of hard to find brews. I haven t noticed that it s any more expensive than going elsewhere but honestly if I don t buy here then I m buying six packs which as we all know are a huuugggge rip off. So any time I have a case of something I love I feel like I m getting a bargain. The cold selection does suck so I try to plan ahead and have what I need already cold. Staff here are all very helpful- and will have recommendations if you ask. 
y,Love this beer distributor.  They always have what I m looking for. The workers are extremely nice and always willing to help. Best one I ve seen by far. 
n,Went here with a gift card from the restaurant week photo competition. \n\nWe were one of two tables there and a bunch of staff showing up during the meal. \n\nOur waitress was good  but that couldn t save the food.\n\nThe meal started out with some what I guess used to be foccacia.  I say used to be because it no longer represented anything other than long pieces of brick or bark very stale and tasteless.\n\nWe ordered the vegetable board which was probably the best thing we ordered with light and bright vegetables perfectly cooked and paired with two delicious sauces. \n\nThen we ordered the octopus which was fine  but very cold and the octopus had little to no flavor  being overwhelmed by the citrus in the dish. \n\nThe tuscan wings were ok  but they were really ordered for my husband who seemed to enjoy them. \n\nFinally the diver scallops.  This dish was indeible.  The scallops were very overcooked and the pea puree was so minty I was unable to eat it. We sent it back and they did take off half of the price (weren t expecting anything just didn t want to eat it). \n\nAfter that we decided against dessert and left.  I probably will not return. 
n,I went there today! The cut was terrible! I have an awful experience. They lady that cut my hair was nice but she wanted to leave early so she made a disaster in my head! 
y,As a chinese american college student from NYC who got stuck in Pittsburgh with its useless public transportation (circa 1998)  I desperately missed home-style Chinese food for the better part of my first two years here. Things turned around for me once I got a car (or made friends with cars)  but I was seriously hurting for a while.\n\nTasty was one of the places we found. Back in the day  it was owned and ran by a typical restaurant-owning Chinese family. They had the works - pushy lao ban niang (boss lady)  chef slash dad  and  during school off-hours  junior high school daughter manning the cashier. If they were in NYC  they d only be missing an ami.... a bus boy. The food was pretty good  and if you order in Chinese  the lao ban niang hooked you up with extras because  your parents teach you good to talk Chineees . \n\nI m pretty sure Tasty is under new ownership now. The food isn t as good as it was  but the restaurant still gives off the home-style look and feel. It s a small restaurant with enough seating for about 25-30 patrons. Cheap tables  cheap seats; after all  restaurant extras are just a waste of money. The customers should come back for the food  this *is* a restaurant.\n\nThe new waitress is not friendly  but she gets the job done. The food is still good - so if you re craving a home cooked meal  you ll be somewhat satisfied here. Don t expect grandma s cooking  though. Order the vegetables  the mapo tofu is good  beef/chicken chow fun  etc. They have a lot of other staple items on the menu too. Don t get the salted pork chops - save that craving for Orient Kitchen. Try things  and share your thoughts.\n\nTasty - it s more than your neighborhood take out joint.\n\n- written by a former junior high school daughter cashier 
y,This shelter is fantastic and has generally very good  friendly people on staff.  The cats and dogs appear to be treated at least as well as one might expect.\n\nWhen I adopted one of my cats at this establishment  I had to return the next day to have her spayed.  They did it for free  which was great  but the reason they don t get five stars is that the desk clerk completely forgot about my cat and me  and she left us waiting as she chatted on her cell phone with a friend: she only remembered about us as she was walking out for a smoke and saw us sitting in the lobby. 
n,Our cat recently came down with some health issues that we could not afford to address. He was in pain and we decided the humane thing was to put him to sleep. We went to the ARL and asked the receptionist there if we had any other options available to us.  Well basically the only thing you can do is sign him over for euthanasia  she said in the most uncaring  apathetic voice possible. We were heartbroken of course.  Go wait by that door and someone will meet you.  After a few minutes another woman came out and took the carrier.  I ll bring your carrier back out in a minute.  We said no  that s okay  keep the carrier. She said okay and took our cat to the back. And that was it. No kind words  no sympathetic gestures  no  Would you like a moment before I take him?  No  I m sorry.  Nothing. For us this was one of the worst days of our lives but nobody at the ARL seemed to care  or at least have been trained to pretend to care  one bit. \n\nThey get a couple stars for offering a necessary service. But other than that  this place will only be associated with making a terrible day that much worse with their lack of caring or empathy. 
y,Yes! Awesome soy cap  scone  and atmosphere. Nice place to hang out & read  and free WiFi with no login procedure. 
n,The people who work here are very rude. I have gone back a few times thinking it may have just been the person working that day was just a rude person  but no it happen every time. I am not a young hip person and felt very out of place there. It is like you are walking into someone s house and bothering them. The people working behind the counter act like you are interfering with there conversation. Plus it is very dirty. Perhaps the people working there should try cleaning the place instead of talking to each other. I will not go back again. 
n,I ve been here quite a few times  and I always try to like it cause theres a lack of good sports bars near Pitt. They have a ton of nice HDTVs.\n\nEverytime I go  there is always a weird taste to one (or more) of the beers that I get. I was just there for the Pitt/Oakland game and got a Redhook. I drink this beer regularly  and something was wrong with the beer. Its definitely hard to describe  but something is always off (others in my party notice it too).\n\nThe food is hit or miss. I got the French onion soup last time. It was good. Nothing ground breaking  but solid soup. I ve had the pork nachos and they were blah. 
n,The location is convenient but I was not a fan of the food. I had shrimp and Chinese veggies and crab Rangoon. They cut the veggies way too big and the sauce was bland. I won t go back for food but the crab Rangoon was ok. They didn t give any sauce. You have to ask for it. That sucks. 
y,I cannot sing Tim Walter s praises loud enough.\n\nI have taken my car to him for about 5 years  and I always leave with a new experience attesting to his awesomeness. If you think you might have something wrong with your car that you re not sure what it is  you can just stop by  and he ll usually take a break from what he s working on to get in your car with you and drive for a little bit and then give you his opinion. Then  when he diagnoses your car  he ll explain it to you like you re not an idiot  and he ll make sure you understand what s going on. He s incredibly honest and cares about his customers. For instance  once I had a tire that needed to be replaced but he didn t have it in stock. He told me how much it would cost to have the tire ordered and how long it would take to come in  then he called another shop to see if they had it and asked how much they were charging for it  and he sent me there because it would be cheaper and faster for me than having him order it. The price difference was like ten bucks  so I had him do it because it wasn t an emergency and I d rather give him my business. He s awesome. 
y,The first time I came here  I waited in line for 20 minutes.  When it was my turn  I realized I left my wallet in the car.  It hurt so bad  I didn t come back for a year.\n\nI can walk to this place from my house- which is dangerous because those biscuits are just OH SO DREAMY.  I can t describe them.  Just get some.\n\nDo I feel guilty about noshing on fabulous Strawberry Napoleons and Jewish Pizza (kind of like a modified  yet TOTALLY delicious fruitcake bar) at 10:15am?  Hecks  naw... But they do have quiche and some other breakfast-y items for those who prefer a more traditional approach to your stomach s opening ceremony.\n\nJust go early :)  They open at 10 on Saturdays.  And bring cash...it s easier that way. 
y,I m a creature of habit--I ve been getting a savory and sweet item each time I m around the neighborhood. White lily cake is divine! Quiches always tasty. Macarons are alittle too sweet. I wish the cake slices weren t $4/pop. Otherwise  would be a regular here. 
n,I don t know  maybe I m not clear on the concept of Whole Foods.  Don t get me wrong  there s nothing really wrong with shopping at Whole Foods.  Whole Foods does have wonderful merchandise  but...\n\nI have found that I can buy a lot of the same organic things and environmentally safe cleaners at Giant Eagle for less.\n\nThier wine and beer selection  supposedly quite remarkable in other states  well remember  this is Pennsylvania.  You can t buy those things at the grocery store.  \n\nI can get just as good quality meat and produce in the Strip District.  Sometimes  even better quality.\n\nI guess the benefit of Whole Foods  is that you can find a lot under one roof and don t have to spend a lot of time and gas going to different stores.  I m not slamming Whole Foods at all  but I actually like Trader Joe s better. 
y,We decided to give brunch a try for our first visit to Casbah.  We were surprised  by the huge tent covering the  outdoor  dining area.  We opted for an inside table  the interior is somewhat small the tables are close together.  For brunch  you are served your choice of drink  appetizer and entree.  \n\nFor our drinks  BJ had a Bloody Mary and I had a Bellini.  We were served a basket of yummie bread and mini muffins.  For appetizers  we got a Three Sisters Farms mesclun greens and smoked salmon and truffled potato cake.  Very good.  For entrees we selected a jumbo lump crab & tomato omelet and the NY strip steak.  Very relaxing and tasty meal. 
y,When scoping around online for a good NYE dinner destination for my husband and me  Casbah s prix fixe menu really jumped off the page! Since the Big Burrito group is so popular  I was happy to get reservations  especially since a lot of times were already booked.\n\nThe hubby and I arrived a few minutes early for dinner. I had planned additional time to park and was delightfully reminded that Big Burrito restaurants have free valet parking -- so great  especially with slushy snow on the ground! Even though we were a few minutes early  the hostess took our coats and seated us immediately.  \n\nService was extremely attentive from start to finish. Waters were re-filled quickly. Bread was brought to the table almost immediately and we were offered another basket as soon as we finished the first. The bread came with a delicious spread - was it goat cheese? - that I just couldn t stop eating. Silverware whisked away with each course was promptly replaced.\n\nWe ordered both the land and sea courses to share so we could try the entire NYE prix fixe menu. None of the eight dishes disappointed! The first courses were Sea Scallops & Octopus and Duck Confit. The sea scallop was perfectly cooked  the octopus - thought not my cup of tea! - was also well cooked  and the balsamic flavor in the dish was very tasty. I absolutely loved the duck confit dish. It was served with mustard greens and fruit with a to-die-for dressing - a delicious combination!\n\nThe second courses were Potato Gnocchi and Mushroom Tortelloni. The gnocchi was served with lobster  which was a unique but nice paring. Though a strongly flavored dish  the tortelloni was delicious  and I enjoyed another unique paring  tortelloni with chunks of beef short rib.\n\nLake Ontario Walleye and Roasted Veal Strip Loin were the third courses. Both were cooked to perfection. The walleye s skin was perfectly crispy  and the veal strip loin was cooked medium well but was still deliciously juicy and tender. However  a component of each dish was disappointing -- a mustard flavor in the walleye and pickled mustard seeds covering the veal. I really can t hold this against Casbah though. I m just not a fan of mustard!\n\nFinally  the desserts was fantastic! The Chocolate Ganache Tart was the ending of the sea courses. The chocolate was strong  even a little bitter  and was served with a little champagne strawberry compote. I grew more accustomed to the bitterness with each bite  and it was the perfect ending to three courses filled with fish. A Caramel Macaroon completed the land courses. The macaroon was delicious and served with a little apple sorbet and caramel sauce.\n\nOur experience at Casbah was spectacular! Based on this experience  I debated giving the restaurant five stars... but decided to wait until I returned a second time. And I can t wait to return! 
n,Overpriced  salty and overrated!!! Why this place is so popular I will never understand. 
y,Every time I have been to Casbah for lunch  brunch  or dinner  the food has been great and the service has been impeccable.  Sure  I ve had more exceptionally delicious and unique meals in Pittsburgh  but Casbah has Consistent Awesomeness down pat.  Just get a reservation ahead of time.  Also  the desserts are mandatory!  \n\nThe duck confit gnocchi is smashing-- it s a nice balance of slightly sweet and very savory--and my favorite is probably the Casbah Double-Cut Pork Chop: super-yum comfort food.  The short rib ravioli is some pot-roasty Goodness  and the long island duck is another great choice.  \n\nA nice surprise here are the great happy hour specials at the bar.  Try the Boyd & Blair cocktail and the sangria. 
y,My girlfriend and I went to Casbah for the first time recently and we both enjoyed our experience.\n\nThe atmosphere is dressy  but the restaurant isn t so formal that it feels stuffy or uncomfortable  which is a welcome change compared to most classy restaurants.  The environment was relaxed  and it was easy to have a quiet conversation throughout the meal.  As for the meal itself  we had a reservation and were promptly seated when we showed up.\n\nOur waiter was courteous and provided good  fast service without being overbearing or constantly hovering  which was quite nice.  For an appetizer  we ordered the cheese tray which was tasty as well as fun and unique.\n\nFollowing the cheese tray  I dined on the cioppino while my girlfriend had the casereccia.  Both dishes were tasty and our seafood was skillfully cooked  particularly the sea bass in my dish which was delicious.\n\nI d recommend this restaurant for anyone looking to celebrate an occasion or have some good  out of the ordinary food. 
y,I am not a vegan and went there to meet friends and enjoy the atmosphere. I must say the hipster  tude of the place was intimidating at first  but it s super friendly and retro-feeling.  Servers were fairly friendly.  We had some great lattes and chai teas and chatted for a long time without being bothered.  Didn t try the food  but there were lots of vegeterian and vegan options. 
y,This Valentines Day I ordered a pizza for my boyfriend and asked that they make a heart on it out of green peppers. The pizza was great  the heart was perfect  and he loved it! 
n,It seems like every other time I take my pets to Point Breeze there is an unnecessary frustration.   From being berating for using their online prescription program to being misquoted prices substantially to poor customer service I just keep hoping each time will be better.  Although I know they love animals I suspect they love money more.  Dr. Caroline. Simard is an excellent vet  but my last two visits have been pushed to other vets whose bedside manner is atrocious.   I m a 40 year-old  who has been taking my pets to vets since childhood and I don t understand why each visit leaves a sour taste in my mouth. 
n,Refused to take my cat  which had passed away  for cremation cause I had not been to the clinic previously. IMHO that s ridiculous. I will not recommended anyone to ever come here. 
n,My partner and I were visiting my family in Pittsburgh we live in San Diego. my partner was born and raised in Portugal. My mom heard about this resaurant and was excited to take my partner and I to a Portuguese restaurant in Pittsburgh. We went  looked at the menu and did not find anything Portuguese on the menu. Why does this restaurant promote itself as Portuguese  fly the Portuguese flag and not have ANY Portuguese dishes. We left. 
y,What a gem of a place in Shadyside.  It s places like this that makes me miss living there.  Food was outstanding!  Because it was our first time  we wanted to do a little bit of this and that.  2 appetizers  Becky s salad and the special of the eve:  smoked salmon on crostini with creme fresh  a clam dish  forgot name  with the best tomatoe-white wine  I could have drunk from the bowl  broth; Becky s salad (the lemon dressing was out of this world delicious--again  could have drunk it  good).  I m usually not fan of walnut in my salad  but the crumbled goat cheese made me forget about my dislike of it  that I ate it happily.  Good pairing.  The special of the night  we opted for sharing the lamb shank with reduced red wine sauce and simple veggies.  Small veggie selection by american standards--half russet potato  slither of zucchini  and a stem of green onion  but the star afterall was the lamb  and it was meduim perfect  just as I ordered!  \n Would you care for some dessert?   Ramon  our waiter (he was fabulous!) asked.  And so round 3 begins.  Coffee  a chocolate mousse with whip cream  beauty and...  their version of creme brulee.  I thought it had a hint of peanut butter  but not sure.  Regardless it was  so  so divine.\nThis place was busy but we did not feel rushed  unlike most places.  The service was great  the atmoshphere quaint; it s definitely a neighbourhood cafe-- alot of repeat clientele  from what I gathered.  We shall return.\nFinally  on an end note. Cafe Zinho is BYOB  so bring your favourite bottle or magnum of vino.  And they only take cash or personal check  but they do have an ATM. 
n,And so....the search for a new hair salon continues. Sigh. Don t get me wrong  the cut was a good cut. The salon itself was clean and stylish. The owner  welcoming and friendly. \n\nNow what went wrong. The cut was good  but it certainly wasn t what I expected from a salon with the reputation of Izzazu. I wasn t bowled over by my stylist s professionalism either. Don t diss my previous stylist....she rocked....you don t do yourself any favors by knocking someone else.  (And come on  I was WAAAYYYY overdue for a cut since I ve been driving to Cleveland for a style.)  That being said  for $55 (and saving big bucks on gas  tolls  lunch and shopping) the cut was still a deal. But  when I started to sign the charge slip  it said $65  not $55.  But   I said   the website said it was $55 for a Master stylist.   Oh   the chick at the counter said   that s for Men s cuts.  Silly me. \n\nSo when I got back to the office  I went online and checked. Nope  it said $55 for a Master Stylist WOMEN s haircut. Hmmmmm. So I called. The chick at the counter now said   Oh  our stylist s charge whatever they feel the cut SHOULD be.  What?????? So I quoted the prices to her from the Izzazu website. She changed her tune again.  Oh  well.....I ll refund you $10 if you give me your credit card number.  Didn t she have my slip with the card number?  Sorry  I don t give my credit card number over the phone.   Or I can send you a gift certificate.   Nope   I said through clenched teeth   I won t be coming back. \n\nIt wasn t the cut. It was the bait and switch. I d gladly have paid it had they been up front and above-board ahead of time. As Judge Judy says   Don t pee on my leg and tell me it s raining.  \n\nThe search goes on. Or I ll be back in Cleveland in the spring for the next cut!\n\nP. S.  One amusing side note:  I checked in at Izzazu when I arrived.  Turns out  I m the Duchess!  The Duchess is displeased. 
y,Page s is a Pittsburgh icon. The ice cream is good  the selection is vast  and the price is right. They have so many different things to try  it s nearly impossible to choose. I m a big fan of the cookie sundae  brownie sundae  and cinnamon roll sundae. The options at this place are pretty much endless. But sometimes a regular soft serve sugar cone is the way to go. It s better than Dairy Queen  AND you support a local business by going here. What more could you ask for. \n\nI don t know if I would say that Page s has particularly superior soft serve  but it s the experience and variety that makes this a four star place. I do think the ice cream is better than somewhere like Dairy Queen  but not by much. What makes Page s special is wide variety of options and soft serve flavors. It s also the nostalgia that goes along with it. It s a business that hasn t changed much in it s lifetime  and that s what most people like about it. You can count on Page s to be there every March-October. They re going to offer the same treats you loved as a kid for your whole lifetime.  It represents the change of the seasons and brings back memories for people. It means a lot more to people than just a summertime ice cream stop. \n\nFor those who have never been there  there is no interior so you ll have to eat in your car or standing outside. I prefer to open the back of my SUV  sit there and enjoy the night while I eat my ice cream. The parking lot is hectic and downright scary sometimes. I typically avoid this place on busy nights just for that reason. \n\nBeware  they only accept cash. But there is an ATM on site! 
n,The first time I went here was with a group - we had reserved the entire restaurant for a retirement party.   I had a horrible experience.  Vowed never to go back!  At that time  I even had a terrible interaction with the owner.\n\nThis time I was invited with a couple of girlfriends because they love it. Decided to try again since it was more about the  get together  than the food/location.\n\nThis time  overpriced food and bad service.  Overall  it was not anything out of the ordinary and not worth the price.   I had the veal speciality.   Large portion  but ok.  Staff was not very attentive for the small amount of customers present.\n\nI am a Pittsburgh native.  This is a bad neighborhood. \n\nI am NOT interested in ever going back! 
n,Our experience not so great.  We have mortgage as well as basic free checking and savings with Dollar in Squirrel Hill.  Mortgage application process was brutal.  Starting with the advertised rate of 2.85% being suddenly not available when we decided to lock it in; got 3.01%.  Automatic deduction of mortgage payment was required to secure this rate and it came out of the required Dollar checking account on the first business day of the month.  Free checking is free ... until.  Beware of Funds Availability policy.  We deposit a check monthly at the end of the month.  In August  the end of the month was a weekend and Labor Day was on September 1.  So our check did not get deposited until 9/2.  Mortgage payment hit on 9/2. It was paid  but we were charged $36 insufficient funds due solely to Funds Availability Policy.  After doing this first  Dollar then merrily hits us with two more $36 charges on smaller checks that would have cleared had they been processed before the mortgage payment.  Had we NOT been required to submit to automatic deduction of mortgage  according to our monthly statement  we had at least 10 days grace to make the payment  so Dollar s requirements and policies trapped us into this situation.  Moreover  there was over $3000 in the associated savings account that was ignored.  I called to protest  and one of the $36 fees was waived.  Then I was offered the  deal  of overdraft protection from the savings account for an annual fee plus a $10 transaction fee should this situation ever arise again.  Needless to say  I declined this deal and transferred the savings to the checking account where it sits until I find another bank and then fire Dollar. 
